"3","0","Smile talk somebody","Final provide moment main guess oil that spring human win","0.072","False"
"52","1","Billion today","Especially soldier political treat respond make rather from company soldier course sit owner author","0.008","False"
"0","2","Night yet physical","Identify man ability part common modern story have talk free","0.024","False"
"103","3","Teacher site","Position floor amount either sometimes sign chance especially certainly move answer conference everybody write camera serve sort actually senior oil","0.01","False"
"89","4","Number open","Movie happy world reveal course stay yourself specific leg health training trip thing prove likely its suffer manage knowledge speak","0.059","False"
"57","5","Worker pay their","Almost establish such upon far arm financial hear performance type court easy who environment often as I","0.09","False"
"19","6","Enter respond need","Activity article act have edge travel skin stay big various follow protect key forget century","0.083","False"
"81","7","Might professional apply culture","Energy rule foreign leave before laugh never treat decade very future animal training only allow attack","0.08","False"
"0","8","Data bit","Party three note action black throughout soldier bar do kind","0.005","False"
"95","9","Medical level successful young","Approach talk wear half little direction party defense very fear always size friend man minute clear understand director","0.068","False"
"41","10","Information","Energy government could report such bank off still second past candidate candidate","0.026","False"
"18","11","Month model fear","Art machine career race information yet own number threat foot economic shake stage","0.086","False"
"28","12","Also then","In general successful age but appear general today own have bill song federal nothing","0.067","False"
"65","13","Including","Moment bill research price political popular care trouble kind fund glass five throw baby night else big morning next glass guy","0.07","False"
"11","14","Reason program","Lay level smile suffer some share forward parent article continue center win art ready stop open describe","0.083","False"
"89","15","Series figure","Player challenge mean fly three whatever break card now none rate arrive sense consider","0.004","False"
"17","16","Amount health","Seek environment hold class sea soon everybody none available","0.021","False"
"111","17","Successful employee","Public less strong consider nothing some current group he wear court environment better serve war bar threat money","0.053","False"
"2","18","Since treatment modern","Against power performance plan air how name citizen decision","0.005","False"
"77","19","Person light","Half fall subject together maybe alone conference surface security own mean growth matter major maybe assume","0.085","False"
"28","20","Enjoy church commercial","May among right mouth religious work century general model instead able poor cold","0.059","False"
"20","21","Always position","Commercial center technology difference nearly attorney reduce little model several officer base","0.048","False"
"133","22","Official contain certain","Rest network decide pass law help great production sign him country worry their fire beyond play study company question half","0.004","False"
"50","23","Pull interview soldier down","Rich effort near red number of meet eat despite street sometimes need","0.056","False"
"18","24","Go impact","Often site audience eight agency life without knowledge believe","0.008","False"
"22","25","Television bad year","American amount policy kitchen effort blood white career he win","0.004","False"
"5","26","Him","Newspaper sister let quite really bit thus beautiful feel mission involve now cover","0.049","False"
"40","27","Other sit quite","Build learn individual mean fact mission power statement figure record fund somebody couple of different try information no","0.005","False"
"51","28","Range modern","Growth within authority conference politics support tell year everything mind short machine remember","0.025","False"
"32","29","Skill source","Open address red this peace part wish list traditional painting develop student half news because","0.094","False"
"0","30","Need future indicate","Gun without attorney large specific cup threat morning look partner machine population minute day available we design","0.091","False"
"100","31","Door","Treat tax foreign oil identify customer wish before you save decade","0.029","False"
"22","32","Clear sport","Different lead draw from everybody money provide season set consumer","0.077","False"
"44","33","Doctor lead","Yard majority control rich fill send management past fine miss myself policy person conference by good","0.06","False"
"131","34","Service window public","Black exactly concern article admit meet concern finally though law parent seat view free mouth the suffer bar condition","0.019","False"
"9","35","Until rock","Put eat listen action fall class manager travel use change federal dinner look not finally always action budget rock","0.084","False"
"37","36","Side today","Allow with about their month cup early way born happen more girl experience","0.048","False"
"34","37","Majority","Fish camera require there true production phone responsibility about field play small control business page modern Mrs lose structure born","0.03","False"
"60","38","Opportunity step of","Play as new near month responsibility they choice local size store table employee list suggest few","0.036","False"
"13","39","Approach college","Theory front others receive find animal often piece off rest memory chance","0.071","False"
"8","40","Law there","Couple happen particular factor hotel what their dog institution arm catch wrong short if little speak","0.09","False"
"9","41","Increase response wife skill","Magazine fill tell power letter in green garden personal moment media knowledge and action while size success attention entire example","0.035","False"
"110","42","Man system kitchen","Notice government citizen away media set tend lose poor door attorney green trip then none","0.083","False"
"79","43","Baby well parent","Move create close way usually several real point social guess open take over bar expert night","0.056","False"
"69","44","New","Time coach possible us defense would prove college go amount section husband than ready between heart often station blue month","0.067","False"
"6","45","Ready bag discover","Return message animal affect her democratic radio too personal phone follow fight test administration discover method would article blue everything","0.059","False"
"87","46","Onto","Room free foreign beat this true read fire car toward big leave heavy","0.097","False"
"41","47","He culture management","Range forget sit save necessary officer bed cost understand two difference down","0.014","False"
"123","48","Message action force","Affect weight center town soon market practice one move everyone discuss arm yet science as strong city picture call organization","0.003","False"
"28","49","Yeah she fear speech","People call begin partner tend important civil sense close or whatever available","0.031","False"
